q_speaker,assembly,q_party,q_sex,q_elect_type,q_birth,q_term_count,q_mona_cd
이상민,19,민주통합당,,지역구,,5선,
박인숙,19,새누리당,,지역구,,재선,
김상희,19,민주통합당,,지역구,,4선,
서상기,19,새누리당,,지역구,,3선,
민병주,19,새누리당,,비례대표,,초선,
박혜자,19,민주통합당,,지역구,,초선,
이에리사,19,새누리당,,비례대표,,초선,
박홍근,19,민주통합당,,지역구,,4선,
이학재,19,새누리당,,지역구,,3선,
황우여,19,새누리당,,지역구,,5선,
유성엽,19,무소속,,지역구,,3선,
강은희,19,새누리당,,비례대표,,초선,
유은혜,19,민주통합당,,지역구,,재선,
김태원,19,새누리당,,지역구,,재선,
이용섭,19,민주통합당,,지역구,,재선,
유기홍,19,민주통합당,,지역구,,3선,
배재정,19,민주통합당,,비례대표,,초선,
김회선,19,새누리당,,지역구,,초선,
안홍준,19,새누리당,,지역구,,3선,
박대출,19,새누리당,,지역구,,4선,
박창식,19,새누리당,,비례대표,,초선,
서용교,19,새누리당,,지역구,,초선,
안민석,19,민주통합당,,지역구,,5선,
신의진,19,새누리당,,비례대표,,초선,
염동열,19,새누리당,,지역구,,재선,
유인태,19,민주통합당,,지역구,,3선,
조정식,19,민주통합당,,지역구,,6선,
윤재옥,19,새누리당,,지역구,,4선,
윤관석,19,민주통합당,,지역구,,3선,
이상일,19,새누리당,,비례대표,,초선,
도종환,19,민주통합당,,비례대표,,3선,
이종훈,19,새누리당,,지역구,,초선,
박주선,19,무소속,,지역구,,4선,
신성범,19,새누리당,,지역구,,3선,
한선교,19,새누리당,,지역구,,4선,
김학용,19,새누리당,,지역구,,4선,
문재인,19,민주통합당,,지역구,,초선,
한기호,19,새누리당,,지역구,,4선,
백군기,19,민주통합당,,비례대표,,초선,
송영근,19,새누리당,,비례대표,,초선,
주호영,19,새누리당,,지역구,,6선,
윤후덕,19,민주통합당,,지역구,,4선,
손인춘,19,새누리당,,비례대표,,초선,
진성준,19,민주통합당,,비례대표,,3선,
김성찬,19,새누리당,,지역구,,재선,
김광진,19,민주통합당,,비례대표,,초선,
함진규,19,새누리당,,지역구,,재선,
박덕흠,19,새누리당,,지역구,,4선,
강동원,19,통합진보당,,지역구,,초선,
김성태,19,새누리당,,지역구,,3선,
김경협,19,민주통합당,,지역구,,3선,
이찬열,19,민주통합당,,지역구,,3선,
하태경,19,새누리당,,지역구,,3선,
민홍철,19,민주통합당,,지역구,,4선,
이언주,19,민주통합당,,지역구,,3선,
이우현,19,새누리당,,지역구,,재선,
변재일,19,민주통합당,,지역구,,5선,
신상진,19,새누리당,,지역구,,4선,
신기남,19,민주통합당,,지역구,,4선,
이노근,19,새누리당,,지역구,,초선,
이미경,19,민주통합당,,지역구,,5선,
박수현,19,민주통합당,,지역구,,재선,
이헌승,19,새누리당,,지역구,,4선,
주영순,19,새누리당,,비례대표,,초선,
천정배,19,무소속,,지역구,,6선,
김희국,19,새누리당,,지역구,,재선,
윤진식,19,새누리당,,지역구,,재선,
안효대,19,새누리당,,지역구,,재선,
임내현,19,민주통합당,,지역구,,초선,
이이재,19,새누리당,,지역구,,초선,
이장우,19,새누리당,,지역구,,재선,
김관영,19,민주통합당,,지역구,,재선,
이종진,19,새누리당,,지역구,,초선,
신장용,19,민주통합당,,지역구,,초선,
이철우,19,새누리당,,지역구,,3선,
오병윤,19,통합진보당,,지역구,,초선,
조현룡,19,새누리당,,지역구,,초선,
이명수,19,자유선진당,,지역구,,4선,
홍문종,19,새누리당,,지역구,,4선,
강석호,19,새누리당,,지역구,,3선,
김태흠,19,새누리당,,지역구,,3선,
문병호,19,민주통합당,,지역구,,재선,
박상은,19,새누리당,,지역구,,재선,
심재철,19,새누리당,,지역구,,5선,
박기춘,19,민주통합당,,지역구,,3선,
김현미,19,민주통합당,,지역구,,3선,
나성린,19,새누리당,,지역구,,재선,
설훈,19,민주통합당,,지역구,,5선,
김태호,19,새누리당,,지역구,,4선,
윤호중,19,민주통합당,,지역구,,5선,
박원석,19,통합진보당,,비례대표,,초선,
류성걸,19,새누리당,,지역구,,재선,
이낙연,19,민주통합당,,지역구,,5선,
서병수,19,새누리당,,지역구,,5선,
이인영,19,민주통합당,,지역구,,5선,
안종범,19,새누리당,,비례대표,,초선,
정성호,19,민주통합당,,지역구,,5선,
이만우,19,새누리당,,비례대표,,초선,
이재영,19,새누리당,,비례대표,,초선,
최재성,19,민주통합당,,지역구,,4선,
김재연,19,통합진보당,,비례대표,,초선,
이한성,19,새누리당,,지역구,,재선,
홍종학,19,민주통합당,,비례대표,,초선,
최경환,19,새누리당,,지역구,,4선,
오제세,19,민주통합당,,지역구,,4선,
박범계,19,민주통합당,,지역구,,4선,
박명재,19,새누리당,,지역구,,재선,
신계륜,19,민주통합당,,지역구,,4선,
이한구,19,새누리당,,지역구,,4선,
박영선,19,민주통합당,,지역구,,4선,
정문헌,19,새누리당,,지역구,,재선,
조명철,19,새누리당,,비례대표,,초선,
김영록,19,민주통합당,,지역구,,재선,
강석훈,19,새누리당,,지역구,,초선,
김관영,20,국민의당,,지역구,,재선,
김광림,20,새누리당,,지역구,,3선,
김영록,20,민주통합당,,,,재선,
김태흠,20,새누리당,,지역구,,3선,
김현미,20,더불어민주당,,지역구,,3선,
나성린,20,새누리당,,,,재선,
박광온,20,더불어민주당,,지역구,,3선,
류성걸,20,미래통합당,,,,재선,
박범계,20,더불어민주당,,지역구,,4선,
박맹우,20,새누리당,,지역구,,재선,
박영선,20,더불어민주당,,지역구,,4선,
박명재,20,새누리당,,지역구,,재선,
신계륜,20,민주통합당,,,,4선,
심재철,20,새누리당,,지역구,,5선,
오제세,20,더불어민주당,,지역구,,4선,
이만우,20,민주당,,,,,
박원석,20,통합진보당,,,,초선,
정문헌,20,새누리당,,,,재선,
홍종학,20,민주통합당,,,,초선,
조명철,20,새누리당,,,,초선,
윤호중,20,더불어민주당,,지역구,,5선,
강석훈,20,새누리당,,,,초선,
최재성,20,더불어민주당,,지역구,,4선,
김우남,19,민주통합당,,지역구,,3선,
김춘진,19,민주통합당,,지역구,,3선,
윤명희,19,새누리당,,비례대표,,초선,
박민수,19,민주통합당,,지역구,,초선,
장윤석,19,새누리당,,지역구,,3선,
배기운,19,민주통합당,,지역구,,재선,
황주홍,19,민주통합당,,지역구,,재선,
홍문표,19,새누리당,,지역구,,4선,
김선동,19,통합진보당,,지역구,,재선,
이운룡,19,새누리당,,비례대표,,초선,
이인제,19,자유선진당,,지역구,,6선,
김재원,19,새누리당,,지역구,,3선,
경대수,19,새누리당,,지역구,,재선,
김승남,19,민주통합당,,지역구,,재선,
이완구,19,새누리당,,지역구,,3선,
이종배,19,새누리당,,지역구,,4선,
유승우,19,새누리당,,지역구,,초선,
안덕수,19,새누리당,,지역구,,초선,
신정훈,19,새정치민주연합,,지역구,,3선,
최규성,19,민주통합당,,지역구,,3선,
김종태,19,새누리당,,지역구,,재선,
신문식,19,새정치민주연합,,비례대표,,초선,
안상수,19,새누리당,,지역구,,3선,
노웅래,19,민주통합당,,지역구,,4선,
김을동,19,새누리당,,지역구,,재선,
남경필,19,새누리당,,지역구,,5선,
김윤덕,19,민주통합당,,지역구,,3선,
이석기,19,통합진보당,,비례대표,,초선,
장병완,19,민주통합당,,지역구,,3선,
유승희,19,민주통합당,,지역구,,3선,
정세균,19,민주통합당,,지역구,,6선,
조해진,19,새누리당,,지역구,,3선,
전병헌,19,민주통합당,,지역구,,3선,
김장실,19,새누리당,,비례대표,,초선,
김희정,19,새누리당,,지역구,,3선,
김한길,19,민주통합당,,지역구,,4선,
최재천,19,민주통합당,,지역구,,재선,
김기현,19,새누리당,,지역구,,5선,
권은희,19,새누리당,,지역구,,초선,
최민희,19,민주통합당,,비례대표,,재선,
신경민,19,민주통합당,,지역구,,재선,
송호창,19,민주통합당,,지역구,,초선,
강길부,19,새누리당,,지역구,,4선,
김재경,19,새누리당,,지역구,,4선,
류지영,19,새누리당,,비례대표,,초선,
정호준,19,민주통합당,,지역구,,초선,
심학봉,19,새누리당,,지역구,,초선,
최원식,19,민주통합당,,지역구,,초선,
홍의락,19,민주통합당,,비례대표,,재선,
우상호,19,민주통합당,,지역구,,4선,
이춘석,19,민주통합당,,지역구,,4선,
서영교,19,민주통합당,,지역구,,4선,
서기호,19,통합진보당,,비례대표,,초선,
이주영,19,새누리당,,지역구,,5선,
김도읍,19,새누리당,,지역구,,4선,
김진태,19,새누리당,,지역구,,재선,
전해철,19,민주통합당,,지역구,,3선,
박지원,19,민주통합당,,지역구,,5선,
노철래,19,새누리당,,지역구,,재선,
정갑윤,19,새누리당,,지역구,,5선,
권성동,19,새누리당,,지역구,,5선,
홍일표,19,새누리당,,지역구,,3선,
이병석,19,새누리당,,지역구,,4선,
우윤근,19,민주통합당,,지역구,,3선,
김용익,19,민주통합당,,비례대표,,초선,
김성주,19,민주통합당,,지역구,,재선,
이목희,19,민주통합당,,지역구,,재선,
민현주,19,새누리당,,비례대표,,초선,
김정록,19,새누리당,,비례대표,,초선,
이학영,19,민주통합당,,지역구,,4선,
정몽준,19,새누리당,,지역구,,7선,
최동익,19,민주통합당,,비례대표,,초선,
문정림,19,자유선진당,,비례대표,,초선,
김명연,19,새누리당,,지역구,,재선,
신경림,19,새누리당,,비례대표,,초선,
양승조,19,민주통합당,,지역구,,4선,
김미희,19,통합진보당,,지역구,,초선,
김현숙,19,새누리당,,비례대표,,초선,
남인순,19,민주통합당,,비례대표,,4선,
안철수,19,무소속,,지역구,,4선,
김제남,20,통합진보당,,,,초선,
장윤석,20,새누리당,,,,3선,
전하진,20,새누리당,,,,초선,
홍익표,20,더불어민주당,,지역구,,3선,
백재현,20,더불어민주당,,지역구,,3선,
홍지만,20,새누리당,,,,초선,
주승용,20,국민의당,,지역구,,4선,
길정우,20,새누리당,,,,초선,
박완주,20,더불어민주당,,지역구,,3선,
이진복,20,새누리당,,지역구,,3선,
부좌현,20,민주통합당,,,,초선,
김종훈,20,무소속,,지역구,,초선,
오영식,20,민주통합당,,,,3선,
김동완,20,새누리당,,,,초선,
이원욱,20,더불어민주당,,지역구,,3선,
김상훈,20,새누리당,,지역구,,4선,
전순옥,20,민주통합당,,,,초선,
이현재,20,새누리당,,지역구,,재선,
이강후,20,새누리당,,,,초선,
이정현,20,새누리당,,지역구,,3선,
김한표,20,새누리당,,지역구,,재선,
이채익,20,새누리당,,지역구,,3선,
전정희,20,민주통합당,,,,초선,
조경태,20,새누리당,,지역구,,6선,
김현,19,민주통합당,,비례대표,,재선,
이재오,19,새누리당,,지역구,,5선,
진선미,19,민주통합당,,비례대표,,4선,
이상규,19,통합진보당,,지역구,,초선,
박성효,19,새누리당,,지역구,,초선,
김민기,19,민주통합당,,지역구,,3선,
김기선,19,새누리당,,지역구,,재선,
이해찬,19,민주통합당,,지역구,,7선,
박남춘,19,민주통합당,,지역구,,재선,
황인자,19,새누리당,,비례대표,,초선,
백재현,19,민주통합당,,지역구,,3선,
유대운,19,민주통합당,,지역구,,초선,
문희상,19,민주통합당,,지역구,,6선,
강기윤,19,새누리당,,지역구,,재선,
정청래,19,민주통합당,,지역구,,4선,
윤영석,19,새누리당,,지역구,,4선,
강창일,19,민주통합당,,지역구,,4선,
임수경,19,민주통합당,,비례대표,,초선,
조원진,19,새누리당,,지역구,,3선,
주승용,19,민주통합당,,지역구,,4선,
정용기,19,새누리당,,지역구,,재선,
정청래,20,더불어민주당,,,,4선,
정용기,20,새누리당,,지역구,,재선,
진선미,20,더불어민주당,,지역구,,4선,
황인자,20,새누리당,,,,초선,
노웅래,20,더불어민주당,,지역구,,4선,
이철우,20,새누리당,,지역구,,3선,
유대운,20,민주통합당,,,,초선,
김장실,20,새누리당,,,,초선,
강창일,20,더불어민주당,,지역구,,4선,
신의진,20,새누리당,,,,초선,
문희상,20,더불어민주당,,지역구,,6선,
강기윤,20,미래통합당,,,,재선,
박남춘,20,더불어민주당,,지역구,,재선,
김민기,20,더불어민주당,,지역구,,3선,
임수경,20,민주통합당,,,,초선,
윤영석,20,새누리당,,지역구,,4선,
인재근,19,민주통합당,,지역구,,3선,
김제남,19,통합진보당,,비례대표,,초선,
길정우,19,새누리당,,지역구,,초선,
전정희,19,민주통합당,,지역구,,초선,
이자스민,19,새누리당,,비례대표,,재선,
박윤옥,19,새누리당,,비례대표,,초선,
홍익표,19,민주통합당,,지역구,,3선,
박혜자,20,민주통합당,,,,초선,
남인순,20,더불어민주당,,지역구,,4선,
손인춘,20,새누리당,,,,초선,
류지영,20,새누리당,,,,초선,
장정은,20,새누리당,,,,초선,
박윤옥,20,새누리당,,,,초선,
이인영,20,더불어민주당,,지역구,,5선,
이자스민,20,정의당,,,,재선,
윤명희,20,새누리당,,,,초선,
심재권,19,민주통합당,,지역구,,3선,
황진하,19,새누리당,,지역구,,3선,
김성곤,19,민주통합당,,지역구,,4선,
김영우,19,새누리당,,지역구,,3선,
박병석,19,민주통합당,,지역구,,6선,
원유철,19,새누리당,,지역구,,5선,
윤상현,19,새누리당,,지역구,,5선,
문대성,19,새누리당,,지역구,,초선,
정병국,19,새누리당,,지역구,,5선,
심윤조,19,새누리당,,지역구,,초선,
정의화,19,새누리당,,지역구,,5선,
원혜영,19,민주통합당,,지역구,,5선,
추미애,19,민주통합당,,지역구,,6선,
강창희,19,새누리당,,지역구,,6선,
이채익,19,새누리당,,지역구,,3선,
박완주,19,민주통합당,,지역구,,3선,
김상훈,19,새누리당,,지역구,,4선,
조경태,19,민주통합당,,지역구,,6선,
전하진,19,새누리당,,지역구,,초선,
김동완,19,새누리당,,지역구,,초선,
정우택,19,새누리당,,지역구,,5선,
오영식,19,민주통합당,,지역구,,3선,
김동철,19,민주통합당,,지역구,,4선,
여상규,19,새누리당,,지역구,,3선,
정수성,19,새누리당,,지역구,,재선,
김한표,19,무소속,,지역구,,재선,
부좌현,19,민주통합당,,지역구,,초선,
이원욱,19,민주통합당,,지역구,,3선,
이강후,19,새누리당,,지역구,,초선,
이진복,19,새누리당,,지역구,,3선,
이현재,19,새누리당,,지역구,,재선,
고희선,19,새누리당,,지역구,,재선,
한정애,19,민주통합당,,비례대표,,4선,
최봉홍,19,새누리당,,비례대표,,초선,
장하나,19,민주통합당,,비례대표,,초선,
한명숙,19,민주통합당,,비례대표,,3선,
김상민,19,새누리당,,비례대표,,초선,
심상정,19,통합진보당,,지역구,,4선,
이완영,19,새누리당,,지역구,,재선,
은수미,19,민주통합당,,비례대표,,초선,
이석현,19,민주통합당,,지역구,,6선,
양창영,19,새누리당,,비례대표,,초선,
박대출,20,새누리당,,지역구,,4선,
신용현,20,국민의당,,지역구,,초선,
이상민,20,더불어민주당,,지역구,,5선,
윤상직,20,새누리당,,지역구,,초선,
이종걸,20,더불어민주당,,지역구,,5선,
최연혜,20,새누리당,,비례대표,,초선,
김성수,20,더불어민주당,,비례대표,,초선,
김성태,20,새누리당,,비례대표,,초선,
박선숙,20,국민의당,,비례대표,,재선,
김경진,20,국민의당,,지역구,,초선,
박성중,20,새누리당,,지역구,,재선,
박경미,20,더불어민주당,,비례대표,,초선,
변재일,20,더불어민주당,,지역구,,5선,
송희경,20,새누리당,,비례대표,,초선,
김세연,20,새누리당,,지역구,,3선,
이은재,20,새누리당,,지역구,,재선,
이장우,20,새누리당,,지역구,,재선,
장정숙,20,국민의당,,비례대표,,초선,
손혜원,20,더불어민주당,,지역구,,초선,
신동근,20,더불어민주당,,지역구,,재선,
나경원,20,새누리당,,지역구,,5선,
안민석,20,더불어민주당,,지역구,,5선,
이철규,20,무소속,,지역구,,3선,
오영훈,20,더불어민주당,,지역구,,재선,
이동섭,20,국민의당,,비례대표,,초선,
이종배,20,새누리당,,지역구,,4선,
전희경,20,새누리당,,비례대표,,초선,
전재수,20,더불어민주당,,지역구,,3선,
김석기,20,새누리당,,지역구,,3선,
조승래,20,더불어민주당,,지역구,,3선,
한선교,20,새누리당,,지역구,,4선,
강길부,20,무소속,,지역구,,4선,
곽상도,20,새누리당,,지역구,,재선,
김병욱,20,더불어민주당,,지역구,,재선,
송기석,20,국민의당,,지역구,,초선,
염동열,20,새누리당,,지역구,,재선,
표창원,20,더불어민주당,,지역구,,초선,
조훈현,20,새누리당,,비례대표,,초선,
유은혜,20,더불어민주당,,지역구,,재선,
박용진,20,더불어민주당,,지역구,,재선,
김현아,20,새누리당,,비례대표,,초선,
박찬대,20,더불어민주당,,지역구,,3선,
이군현,20,새누리당,,지역구,,4선,
서영교,20,더불어민주당,,지역구,,4선,
신경민,20,더불어민주당,,지역구,,재선,
홍문종,20,새누리당,,지역구,,4선,
김해영,20,더불어민주당,,지역구,,초선,
오세정,20,국민의당,,비례대표,,초선,
이철희,20,더불어민주당,,비례대표,,초선,
김학용,20,새누리당,,지역구,,4선,
우상호,20,더불어민주당,,지역구,,4선,
백승주,20,새누리당,,지역구,,초선,
김병기,20,더불어민주당,,지역구,,3선,
정진석,20,새누리당,,지역구,,5선,
김동철,20,국민의당,,지역구,,4선,
김진표,20,더불어민주당,,지역구,,5선,
이종명,20,새누리당,,비례대표,,초선,
김종대,20,정의당,,비례대표,,초선,
진영,20,더불어민주당,,지역구,,4선,
경대수,20,새누리당,,지역구,,재선,
김중로,20,국민의당,,비례대표,,초선,
황영철,20,새누리당,,지역구,,3선,
홍영표,20,더불어민주당,,지역구,,4선,
서청원,20,새누리당,,지역구,,8선,
이주영,20,새누리당,,지역구,,5선,
하태경,20,새누리당,,지역구,,3선,
민홍철,20,더불어민주당,,지역구,,4선,
정종섭,20,새누리당,,지역구,,초선,
안규백,20,더불어민주당,,지역구,,5선,
박덕흠,20,새누리당,,지역구,,4선,
안호영,20,더불어민주당,,지역구,,3선,
윤관석,20,더불어민주당,,지역구,,3선,
박완수,20,새누리당,,지역구,,재선,
정동영,20,국민의당,,지역구,,5선,
박찬우,20,새누리당,,지역구,,초선,
임종성,20,더불어민주당,,지역구,,재선,
이우현,20,새누리당,,지역구,,재선,
이헌승,20,새누리당,,지역구,,4선,
전현희,20,더불어민주당,,지역구,,3선,
주호영,20,무소속,,지역구,,6선,
윤후덕,20,더불어민주당,,지역구,,4선,
이해찬,20,무소속,,지역구,,7선,
최인호,20,더불어민주당,,지역구,,재선,
함진규,20,새누리당,,지역구,,재선,
강훈식,20,더불어민주당,,지역구,,3선,
이학재,20,새누리당,,지역구,,3선,
최경환(국),20,,,,,,
황희,20,더불어민주당,,지역구,,3선,
김재원,20,자유한국당,,지역구,,3선,
윤영일,20,국민의당,,지역구,,초선,
박준영,20,국민의당,,지역구,,초선,
정병국,20,새누리당,,지역구,,5선,
송영길,20,더불어민주당,,지역구,,5선,
박주현,20,국민의당,,비례대표,,초선,
유승민,20,무소속,,지역구,,5선,
심기준,20,더불어민주당,,비례대표,,초선,
엄용수,20,새누리당,,지역구,,초선,
김성식,20,국민의당,,지역구,,재선,
이종구,20,새누리당,,지역구,,3선,
김두관,20,더불어민주당,,지역구,,재선,
최교일,20,새누리당,,지역구,,초선,
이언주,20,더불어민주당,,지역구,,3선,
김종민,20,더불어민주당,,지역구,,3선,
추경호,20,새누리당,,지역구,,3선,
김태년,20,더불어민주당,,지역구,,5선,
이혜훈,20,새누리당,,지역구,,3선,
김경협,20,더불어민주당,,지역구,,3선,
서형수,20,더불어민주당,,지역구,,초선,
심상정,20,정의당,,지역구,,4선,
유승희,20,더불어민주당,,지역구,,3선,
조정식,20,더불어민주당,,지역구,,6선,
권성동,20,새누리당,,지역구,,5선,
김정우,20,더불어민주당,,지역구,,초선,
유성엽,20,국민의당,,지역구,,3선,
강병원,20,더불어민주당,,지역구,,재선,
이완영,20,새누리당,,지역구,,재선,
정인화,20,국민의당,,지역구,,초선,
홍문표,20,새누리당,,지역구,,4선,
황주홍,20,국민의당,,지역구,,재선,
이양수,20,새누리당,,지역구,,3선,
김성찬,20,새누리당,,지역구,,재선,
위성곤,20,더불어민주당,,지역구,,3선,
김종회,20,국민의당,,지역구,,초선,
안상수,20,무소속,,지역구,,3선,
김현권,20,더불어민주당,,비례대표,,초선,
이만희,20,새누리당,,지역구,,3선,
김한정,20,더불어민주당,,지역구,,재선,
권석창,20,새누리당,,지역구,,초선,
김철민,20,더불어민주당,,지역구,,재선,
강석진,20,새누리당,,지역구,,초선,
서삼석,20,더불어민주당,,지역구,,3선,
김정재,20,새누리당,,지역구,,3선,
윤준호,20,더불어민주당,,지역구,,초선,
손금주,20,국민의당,,지역구,,초선,
정운천,20,새누리당,,지역구,,재선,
강석호,20,새누리당,,지역구,,3선,
김영주,20,더불어민주당,,지역구,,4선,
이상헌,20,더불어민주당,,지역구,,재선,
김수민,20,국민의당,,비례대표,,초선,
정세균,20,더불어민주당,,지역구,,6선,
최경환(평),20,,,,,,
박인숙,20,새누리당,,지역구,,재선,
윤종오,20,무소속,,지역구,,재선,
강효상,20,새누리당,,비례대표,,초선,
추혜선,20,정의당,,비례대표,,초선,
민경욱,20,새누리당,,지역구,,초선,
고용진,20,더불어민주당,,지역구,,재선,
김재경,20,새누리당,,지역구,,4선,
박홍근,20,더불어민주당,,지역구,,4선,
최명길,20,더불어민주당,,지역구,,초선,
이은권,20,새누리당,,지역구,,초선,
조원진,20,새누리당,,지역구,,3선,
오신환,20,새누리당,,지역구,,재선,
주광덕,20,새누리당,,지역구,,재선,
박주민,20,더불어민주당,,지역구,,3선,
조응천,20,더불어민주당,,지역구,,재선,
노회찬,20,정의당,,지역구,,3선,
금태섭,20,더불어민주당,,지역구,,초선,
박지원,20,국민의당,,지역구,,5선,
백혜련,20,더불어민주당,,지역구,,3선,
정갑윤,20,새누리당,,지역구,,5선,
정성호,20,더불어민주당,,지역구,,5선,
여상규,20,새누리당,,지역구,,3선,
이춘석,20,더불어민주당,,지역구,,4선,
이용주,20,국민의당,,지역구,,초선,
김진태,20,새누리당,,지역구,,재선,
송기헌,20,더불어민주당,,지역구,,3선,
장제원,20,무소속,,지역구,,3선,
채이배,20,국민의당,,비례대표,,초선,
정점식,20,자유한국당,,지역구,,3선,
김도읍,20,새누리당,,지역구,,4선,
이재정,20,더불어민주당,,비례대표,,3선,
윤한홍,20,새누리당,,지역구,,3선,
어기구,20,더불어민주당,,지역구,,3선,
곽대훈,20,새누리당,,지역구,,초선,
김규환,20,새누리당,,비례대표,,초선,
홍의락,20,무소속,,지역구,,재선,
이찬열,20,더불어민주당,,지역구,,3선,
김정훈,20,새누리당,,지역구,,4선,
이훈,20,더불어민주당,,지역구,,초선,
김경수,20,더불어민주당,,지역구,,초선,
권칠승,20,더불어민주당,,지역구,,3선,
김기선,20,새누리당,,지역구,,재선,
조배숙,20,국민의당,,지역구,,5선,
김병관,20,더불어민주당,,지역구,,초선,
정우택,20,새누리당,,지역구,,5선,
박재호,20,더불어민주당,,지역구,,재선,
정유섭,20,새누리당,,지역구,,초선,
박정,20,더불어민주당,,지역구,,3선,
유동수,20,더불어민주당,,지역구,,3선,
우원식,20,더불어민주당,,지역구,,5선,
김삼화,20,국민의당,,비례대표,,초선,
장석춘,20,새누리당,,지역구,,초선,
송갑석,20,더불어민주당,,지역구,,재선,
김성환,20,더불어민주당,,지역구,,3선,
성일종,20,새누리당,,지역구,,3선,
김영진,20,더불어민주당,,지역구,,3선,
박순자,20,새누리당,,지역구,,3선,
김영호,20,더불어민주당,,지역구,,3선,
이용호,20,국민의당,,지역구,,재선,
유민봉,20,새누리당,,비례대표,,초선,
소병훈,20,더불어민주당,,지역구,,3선,
이명수,20,새누리당,,지역구,,4선,
홍철호,20,새누리당,,지역구,,재선,
권은희,20,국민의당,,지역구,,3선,
윤재옥,20,새누리당,,지역구,,4선,
김순례,20,새누리당,,비례대표,,초선,
윤종필,20,새누리당,,비례대표,,초선,
임이자,20,새누리당,,비례대표,,3선,
이정미,20,정의당,,비례대표,,초선,
정춘숙,20,더불어민주당,,비례대표,,재선,
권미혁,20,더불어민주당,,지역구,,초선,
김명연,20,새누리당,,지역구,,재선,
신보라,20,새누리당,,비례대표,,초선,
송옥주,20,더불어민주당,,비례대표,,3선,
제윤경,20,더불어민주당,,비례대표,,초선,
윤소하,20,정의당,,비례대표,,초선,
김성원,20,새누리당,,지역구,,3선,
여영국,20,정의당,,지역구,,초선,
박병석,20,더불어민주당,,지역구,,6선,
윤상현,20,무소속,,지역구,,5선,
설훈,20,더불어민주당,,지역구,,5선,
원혜영,20,더불어민주당,,지역구,,5선,
이석현,20,더불어민주당,,지역구,,6선,
정양석,20,새누리당,,지역구,,재선,
최경환(한),20,,,,,,
유기준,20,새누리당,,지역구,,4선,
이태규,20,국민의당,,비례대표,,재선,
원유철,20,새누리당,,지역구,,5선,
박주선,20,국민의당,,지역구,,4선,
김무성,20,새누리당,,지역구,,6선,
천정배,20,국민의당,,지역구,,6선,
심재권,20,더불어민주당,,지역구,,3선,
이수혁,20,더불어민주당,,비례대표,,초선,
추미애,20,더불어민주당,,지역구,,6선,
김영우,20,새누리당,,지역구,,3선,
이상돈,20,국민의당,,비례대표,,초선,
신창현,20,더불어민주당,,지역구,,초선,
이용득,20,더불어민주당,,비례대표,,초선,
한정애,20,더불어민주당,,지역구,,4선,
문진국,20,새누리당,,비례대표,,초선,
이강래,17,열린우리당,,지역구,,3선,
윤호중,17,열린우리당,,지역구,,5선,
노영민,17,열린우리당,,지역구,,3선,
안택수,17,한나라당,,지역구,,3선,
이호웅,17,열린우리당,,지역구,,재선,
김기석,17,열린우리당,,지역구,,초선,
김태환,17,한나라당,,지역구,,3선,
한선교,17,한나라당,,지역구,,4선,
김맹곤,17,열린우리당,,지역구,,초선,
안홍준,17,한나라당,,지역구,,3선,
허태열,17,한나라당,,지역구,,3선,
박혁규,17,한나라당,,지역구,,재선,
한화갑,17,새천년민주당,,지역구,,4선,
김근태,17,열린우리당,,지역구,,3선,
박성범,17,한나라당,,지역구,,재선,
이석현,17,열린우리당,,지역구,,6선,
신기남,17,열린우리당,,지역구,,4선,
안병엽,17,열린우리당,,지역구,,초선,
류시민,17,,,,,,
김효석,17,새천년민주당,,지역구,,3선,
이원복,17,한나라당,,지역구,,재선,
천정배,17,열린우리당,,지역구,,6선,
임종인,17,열린우리당,,지역구,,초선,
문희상,17,열린우리당,,지역구,,6선,
이상득,17,한나라당,,지역구,,6선,
류재건,17,,,,,,
맹형규,17,한나라당,,지역구,,4선,
고진화,17,한나라당,,지역구,,초선,
주성영,17,한나라당,,지역구,,재선,
최용규,17,열린우리당,,지역구,,재선,
김양수,17,한나라당,,지역구,,초선,
채일병,17,민주당,,지역구,,초선,
차명진,17,한나라당,,지역구,,재선,
이철우,17,열린우리당,,지역구,,초선,
김재원,17,한나라당,,지역구,,3선,
이시종,17,열린우리당,,지역구,,재선,
오시덕,17,열린우리당,,지역구,,초선,
박홍수,17,열린우리당,,비례대표,,초선,
이정일,17,새천년민주당,,지역구,,재선,
김광원,17,한나라당,,지역구,,3선,
이광재,17,열린우리당,,지역구,,3선,
노회찬,17,민주노동당,,비례대표,,3선,
김성조,17,한나라당,,지역구,,3선,
이원영,17,열린우리당,,지역구,,초선,
나경원,17,한나라당,,비례대표,,5선,
김종률,17,열린우리당,,지역구,,재선,
이상락,17,열린우리당,,지역구,,초선,
임인배,17,한나라당,,지역구,,3선,
조승수,17,민주노동당,,지역구,,재선,
이성권,17,한나라당,,지역구,,재선,
이명규,17,한나라당,,지역구,,재선,
김영대,17,대통합민주신당,,비례대표,,초선,
신명,17,열린우리당,,비례대표,,초선,
이종구,17,한나라당,,지역구,,3선,
이계안,17,열린우리당,,지역구,,초선,
박병석,17,열린우리당,,지역구,,6선,
김정부,17,한나라당,,지역구,,재선,
김애실,17,한나라당,,비례대표,,초선,
한명숙,17,열린우리당,,지역구,,3선,
김원웅,17,열린우리당,,지역구,,3선,
박계동,17,한나라당,,지역구,,재선,
장영달,17,열린우리당,,지역구,,4선,
